county,year,violent crime,violent crime rate per 1000 persons,property crime,property crime rate per 1000 persons,unemployment rate,high school graduate rate,per capita personal income,population,population per 1000,land area,population density,percent of population below poverty level,full-time law enforcement employees,full-time law enforcement employees rate,income inequality,% Males 15-24 years,% Males 25-39 years
Santa Barbara County,2016,1527,3.41555,9779,21.8733853,0.05,0.89,56195,"447,073",447,"2,735.09",163.46,15.9,617,1.38,16.15,10.12121622,10.02100616
Santa Barbara County,2017,1532,3.40426,8742,19.4255875,0.05,0.87,58138,"450,025",450,"2,735.09",164.54,15.4,626,1.39,16.11,10.02537269,10.07616322
Santa Clara County,2012,4942,2.70225,47992,26.2417277,0.08,0.82,72306,"1,828,843","1,829","1,290.10",1417.6,9.7,"1,517",0.83,14.98,6.678382716,11.85036331
Santa Clara County,2013,4538,2.44345,44475,23.9471982,0.07,0.83,72451,"1,857,211","1,857","1,290.10",1439.59,10.2,"1,572",0.85,15.52,6.62980585,11.80306345
Santa Clara County,2014,4676,2.48697,43084,22.9146201,0.05,0.84,78377,"1,880,197","1,880","1,290.10",1457.4,9.9,"1,616",0.86,15.76,6.528685051,11.65119178
Santa Clara County,2015,4801,2.52,45140,23.6935978,0.04,0.84,85338,"1,905,156","1,905","1,290.10",1476.75,9.5,"1,613",0.85,16.07,6.484039335,11.66121803
Santa Clara County,2016,5423,2.81775,42797,22.2370364,0.04,0.83,91828,"1,924,582","1,925","1,290.10",1491.81,9.3,"1,655",0.86,16.22,6.445460718,11.78310788
Santa Clara County,2017,5995,3.09424,44954,23.2023879,0.03,0.84,99336,"1,937,473","1,937","1,290.10",1501.8,8.6,"1,684",0.87,16.1,6.408138022,12.02034715
Santa Cruz County,2012,1041,3.89546,8709,32.589416,0.12,0.82,52435,"267,234",267,445.17,600.3,14.4,286,1.07,15.94,9.324552489,9.224824655
Santa Cruz County,2013,1002,3.72225,8140,30.2386401,0.10,0.85,53240,"269,192",269,445.17,604.69,14.6,304,1.13,16.21,9.360668862,9.261087278
Santa Cruz County,2014,1139,4.20087,8121,29.9519795,0.09,0.86,55298,"271,134",271,445.17,609.06,15.3,304,1.12,16.44,9.394510166,9.344803763
Santa Cruz County,2015,1171,4.27425,9282,33.8801165,0.08,0.87,57880,"273,966",274,445.17,615.42,15.1,299,1.09,16.46,9.335419901,9.335419901
Santa Cruz County,2016,1101,3.99294,9485,34.3987205,0.07,0.86,59382,"275,737",276,445.17,619.4,15.1,332,1.2,16.93,9.323774688,9.373369234
Santa Cruz County,2017,1056,3.81911,8947,32.3575789,0.06,0.85,62813,"276,504",277,445.17,621.12,14.7,326,1.18,17.68,9.253722604,9.409616377
