state,year,violent crime,violent_murder,violent_rape,violent_robbery,violent_assault,property crime,property_buglary,property_larceny,property_auto theft,unemployment,population,Land Area,population density,poverty rate,employee rate,per capita income,% Males 15-24 years,% Males 25-39 years
Oregon,2007,287.6,1.9,33.5,76.4,175.8,3526.2,609,2529,388.2,5.2,3747455,254799,14.70749493,12.8,0.000247101,35879,6.842928872,10.06604754
Pennsylvania,2007,416.5,5.8,27.7,156.5,226.4,2361.3,450.6,1697.9,212.8,4.4,12432792,119280,104.231992,10.4,0.000563108,40337,7.097603031,8.884074543
Puerto rico,2007,226.9,18.5,2.5,130.3,75.7,1368.5,435.4,734.6,198.5,11.2,3941459,13791,285.7993619,11.8,0.000785353,39999,7.510299348,9.339731241
Rhode Island,2007,227.3,1.8,24.2,71,130.3,2622.6,495,1822.7,305,5.2,1057832,4001,264.391902,9.5,0.000291162,40894,7.638702055,8.743671535
South Carolina,2007,788.3,8,39.5,144,596.9,4271.7,1025.8,2859.6,386.3,6.1,4407709,82933,53.14783018,14.1,0.000557659,32402,7.286602084,9.521160056
South Dakota,2007,169.2,2.1,38.7,14.1,114.3,1652.3,298.7,1261.3,92.3,2.8,796214,199729,3.986471669,9.4,0.000496098,38748,7.244605243,9.576772684
Tennessee,2007,753.3,6.4,35.3,179,532.5,4088.6,1002.4,2734.4,351.8,4.6,6156719,109153,56.40448728,14.8,0.00047103,34164,6.96307997,9.592494784
Texas,2007,510.6,5.9,35.3,162.2,307.2,4121.2,955.1,2773.3,392.8,4.3,23904380,695662,34.36206089,16.5,0.000331195,37085,7.59643633,10.7243807
Utah,2007,234.8,2.2,34.3,53.7,144.6,3500.3,587.5,2579.7,333.1,2.6,2645330,219882,12.03068009,9.6,0.000278982,33165,8.167857112,11.57530671
Vermont,2007,124.3,1.9,19.8,12.9,89.7,2322.7,500,1719.6,103.2,4,621254,24906,24.94394925,9.9,0.000911061,38944,7.44829385,8.183322849
Virginia,2007,269.7,5.3,22.6,99.2,142.6,2466.4,410.9,1873.3,182.2,3,7712091,110787,69.61187684,8.6,0.000413766,44248,7.259156193,10.05491229
Washington,2007,333.1,2.7,40.6,93.6,196.2,4030.8,814.8,2634.4,581.6,4.7,6468424,184661,35.02864167,10.2,0.000350472,42819,7.069257655,10.40475246
West Virginia,2007,275.2,3.5,20.4,47,204.3,2525,596.8,1735.5,192.7,4.8,1812035,62756,28.8742909,14.8,0.000655065,29711,6.611967634,8.994220679
Wisconsin,2007,290.9,3.3,21.8,97.7,168.1,2837.7,497,2100.9,239.8,4.9,5601640,169635,33.02172311,11,0.000166558,37816,7.062561826,9.433211949
Wyoming,2007,239.3,3.1,30.6,16.1,189.5,2865.9,449.1,2264.6,152.2,2.8,522830,253335,2.063789054,10.9,0.000661783,46278,7.343848905,9.858865653
Alabama,2008,452.8,7.6,34.7,157.6,253,4082.9,1081.3,2713,288.7,5.9,4661900,135767,34.3375047,14.3,0.000356507,33583,7.240125025,9.170825032
Alaska,2008,651.9,4.1,64.3,94,489.6,2932.3,472.1,2221.5,238.7,6.7,686293,1723337,0.398234936,8.2,0.000839292,47869,7.806414731,10.70150894
Arizona,2008,447,6.3,25.7,149.2,265.9,4291,868.9,2849.5,572.6,6.2,6500180,295234,22.01704411,18,0.000341529,35748,7.337797351,10.08323173
Arkansas,2008,503.4,5.7,48.9,95.8,353.1,3835.1,1180,2427.1,228,5.5,2855390,137732,20.73149304,15.3,0.000353367,32306,7.027597516,9.516538303
California,2008,503.8,5.8,24.2,188.8,285,2940.3,647.1,1769.4,523.8,7.3,36756666,423967,86.69699764,14.6,0.00032103,43567,7.821757134,10.76114357
Colorado,2008,343.1,3.2,42.5,68.1,229.3,2849,572,2003.3,273.7,4.8,4939456,269601,18.32135637,11,0.00021966,42953,7.15068409,11.07852465
Connecticut,2008,297.8,3.5,19.3,111.6,163.5,2458.7,428.7,1774,256,5.7,3501252,14357,243.8707251,8.1,0.000523813,60970,6.828646025,8.814280685
Delaware,2008,703.4,6.5,41.9,210.5,444.4,3585.3,774.3,2520,291,4.9,873092,6446,135.447099,9.6,0.001787899,40894,7.381601838,9.227002297
district of Columbia,2008,1437.7,31.4,31.4,748.5,626.4,5104.6,640,3372.2,1092.4,6.9,591833,177,3343.689266,16.5,0.000433794,60887,7.816458792,13.23147542
Florida,2008,688.9,6.4,32.6,197.9,452,4140.8,1028.3,2766,346.5,6.3,18328340,170312,107.6162572,13.1,0.00028666,39401,6.781734139,9.172417396
Georgia,2008,478.9,6.6,22.7,179.2,270.5,4015.5,1038.9,2567.5,409.1,6.2,9685744,153910,62.93121954,15.5,0.000237049,35438,7.477245347,10.13363514
Hawaii,2008,272.6,1.9,28.3,84.3,158.1,3571.2,728.1,2444.7,398.5,4.3,1288198,28313,45.4984636,9.9,0.000443024,41969,7.234498327,10.19863306
Idaho,2008,228.6,1.5,36.2,15.8,175.1,2101.2,439.8,1552,109.5,5.1,1523816,216443,7.040264642,12.2,0.000303186,32841,7.318995358,9.624980196
Illinois,2008,525.4,6.1,31.9,186.4,300.9,2932.6,612.1,2068.1,252.5,6.3,12901563,149995,86.01328711,12.3,0.00030849,43460,7.147983835,10.18342902
Indiana,2008,333.8,5.1,27,118.1,183.5,3335.8,762.8,2299.2,273.7,5.9,6376792,94326,67.60375718,14.3,0.000335121,35408,7.259390526,9.564737517
Iowa,2008,283.8,2.5,29.6,41.6,210.1,2420.9,547.9,1728.8,144.3,4.2,3002555,145746,20.6012858,9.5,0.000327388,38703,7.113008505,9.222383441
Kansas,2008,410.6,4,42.5,60.1,304,3377.2,699.9,2413.4,263.9,4.6,2802134,213100,13.14938527,12.7,0.000506043,41257,7.362792021,9.586454041
Kentucky,2008,296.2,4.6,33,93.8,164.8,2583.9,675.5,1728.8,179.6,6.4,4269245,104656,40.79312223,17.1,0.000507115,33002,6.988960131,9.725895567
Louisiana,2008,656.2,11.9,27.9,135.9,480.4,3823.1,982.1,2529.4,311.6,4.7,4410796,135659,32.51384722,18.2,0.000411944,38522,7.404921373,9.824830319
Maine,2008,117.5,2.4,28.5,25.3,61.4,2452.4,495.4,1867.7,89.3,5.4,1316456,91633,14.36661465,12,0.000458808,37163,6.471065076,8.319940812
Maryland,2008,628.2,8.8,20,234.4,365.1,3517.6,689.6,2378.3,449.7,4.2,5633597,32131,175.3321403,8.7,0.00069121,49186,7.050673295,9.561872003
Massachusetts,2008,449,2.6,26.7,108.8,310.9,2400.1,555.5,1648.6,196,5.5,6497967,27336,237.707309,11.3,0.000488922,51810,7.178400078,9.442727619
Michigan,2008,501.5,5.4,45,129.6,321.5,2934.8,741.5,1831.1,362.3,8,10003422,250487,39.93589288,13,0.000290601,35969,7.256850871,8.972998037
Minnesota,2008,262.8,2.1,34.6,80,146.1,2850.6,505.9,2151.6,193.1,5.4,5220393,225163,23.18495046,9.9,0.000150372,43161,6.881881374,10.00100746
Mississippi,2008,284.9,8.1,30.3,102.6,143.9,2940.4,885.6,1838.7,216.2,6.7,2938618,125438,23.4268563,18.1,0.00045245,30785,7.484234309,9.319078849
Missouri,2008,504.4,7.7,27.3,125,344.4,3663.7,774.5,2537.9,351.3,6.1,5911605,180540,32.74401795,13.3,0.000466032,37312,7.097960059,9.382919804
Montana,2008,258.1,2.4,30.4,17.8,207.6,2603,344.4,2095.9,162.6,5.1,967440,380831,2.540339416,12.9,0.000300794,35792,7.02472082,9.167011566
Nebraska,2008,303.7,3.8,32.7,72.8,194.3,2878.6,492,2151.8,234.8,3.3,1783432,200330,8.902470923,10.6,0.000401473,40535,7.244508705,9.412933079
Nevada,2008,724.5,6.3,42.4,248.9,426.9,3447.5,929,1906.8,611.6,6.7,2600167,286380,9.079429429,10.8,0.000379976,38836,6.877838286,11.05548821
New Hampshire,2008,157.2,1,29.7,31.8,94.7,2091.9,325.7,1660.8,105.4,3.9,1315809,24214,54.34083588,7,0.000428634,45886,6.835203911,8.408776034
New Jersey,2008,326.5,4.3,12.9,146.3,163,2293.4,465.3,1595.7,232.4,5.3,8682661,22591,384.3415962,9.2,0.00069967,51779,6.696039433,9.5588389
New Mexico,2008,649.9,7.2,57.4,109.5,475.9,3909.2,1094.2,2411.6,403.4,4.5,1984356,314917,6.301203174,19.3,0.000340161,33649,7.276281963,9.636157194
New York,2008,398.1,4.3,14.4,163,216.4,1993.5,337.3,1527.3,128.9,5.4,19490297,141297,137.9385054,14.2,0.000327907,48184,7.230075667,9.881103411
North Carolina,2008,467.3,6.5,24.8,155.4,280.6,4044.1,1210.1,2544,290,6.1,9222414,139391,66.16219125,13.9,0.000361727,37835,7.151336642,9.89431508
North Dakota,2008,166.5,0.5,36.2,11.2,118.6,1894.4,328.3,1428.6,137.5,3.2,641481,183108,3.503293138,11.8,0.000291513,41075,8.384931797,9.582779197
Ohio,2008,348.2,4.7,38.5,163,142.1,3411.7,892.8,2270.5,248.4,6.4,11485910,116098,98.93288429,13.7,0.000276252,36827,6.894490899,9.127917528
Oklahoma/g,2008,526.7,5.8,40.2,101.1,379.5,3442.4,963.1,2180.5,298.7,3.7,3642361,181037,20.11942863,13.6,0.00042747,39325,7.175470795,9.976853228
Oregon,2008,257.2,2.2,30.5,69.7,154.8,3282.2,550.9,2432.3,299,6.5,3790060,254799,14.87470516,10.6,0.000251183,36992,6.842928872,10.06604754
